CALIB_AIRSPEED,TRUE_AIRSPEED,VERTICAL_SPEED,ALTITUDE,AOA_LEFT,AOA_RIGHT,MAGNETIC_HEADING,AUTOPILOT_ENGAGED,AUTOTHROTTLE_ENGAGED,IN_AIR
236.88,250.5,1136.0,2326.0,5.98,6.24,-44.12,0.0,1.0,1.0
238.25,252.0,1144.0,2347.0,5.71,6.15,-45.26,0.0,1.0,1.0
239.12,253.25,1136.0,2364.0,5.71,6.02,-46.58,0.0,1.0,1.0
240.25,254.25,1176.0,2382.0,5.76,6.02,-48.08,0.0,1.0,1.0
241.62,255.75,1264.0,2400.0,6.06,6.33,-49.66,0.0,1.0,1.0
242.38,256.75,1376.0,2419.0,6.59,6.86,-51.5,0.0,1.0,1.0
243.12,257.75,1480.0,2444.0,6.42,6.77,-53.35,0.0,1.0,1.0
243.62,258.25,1560.0,2468.0,5.93,6.28,-55.2,0.0,1.0,1.0
244.12,259.0,1640.0,2493.0,5.89,6.24,-57.04,0.0,1.0,1.0
245.0,260.0,1696.0,2521.0,5.98,6.24,-58.8,0.0,1.0,1.0
245.25,260.5,1784.0,2547.0,5.8,6.06,-60.64,0.0,1.0,1.0
245.38,260.75,1808.0,2576.0,5.89,6.15,-62.4,0.0,1.0,1.0
245.5,261.0,1840.0,2606.0,5.58,5.84,-64.16,0.0,1.0,1.0
245.88,261.25,1840.0,2637.0,5.62,5.84,-66.01,0.0,1.0,1.0
246.25,261.75,1808.0,2668.0,5.45,5.67,-67.76,0.0,1.0,1.0
246.5,262.25,1784.0,2697.0,5.32,5.58,-69.61,0.0,1.0,1.0
246.5,262.5,1792.0,2724.0,5.67,5.93,-71.54,0.0,1.0,1.0
246.88,262.75,1808.0,2754.0,5.76,5.98,-73.39,0.0,1.0,1.0
247.12,263.25,1824.0,2784.0,5.58,5.8,-75.23,0.0,1.0,1.0
247.0,263.5,1840.0,2812.0,5.62,5.84,-77.08,0.0,1.0,1.0
247.5,264.0,1872.0,2841.0,5.67,5.89,-78.84,0.0,1.0,1.0
247.75,264.25,1920.0,2874.0,5.67,5.93,-80.6,0.0,1.0,1.0
247.75,264.5,1976.0,2907.0,5.54,5.76,-81.91,0.0,1.0,1.0
248.12,265.0,2008.0,2940.0,5.27,5.45,-83.06,0.0,1.0,1.0
248.88,266.0,2040.0,2974.0,5.05,5.32,-84.02,0.0,1.0,1.0
249.62,266.75,2080.0,3007.0,5.05,5.23,-84.99,0.0,1.0,1.0
249.88,267.25,2088.0,3043.0,5.01,5.23,-85.87,0.0,1.0,1.0
250.12,267.75,2056.0,3078.0,4.61,4.83,-86.48,0.0,1.0,1.0
250.25,268.0,2008.0,3114.0,4.17,4.39,-87.01,0.0,1.0,1.0
250.38,268.25,1984.0,3145.0,4.35,4.44,-87.45,0.0,1.0,1.0
250.5,268.5,2008.0,3177.0,4.7,4.79,-87.71,0.0,1.0,1.0
250.62,268.75,2056.0,3210.0,4.88,4.92,-87.98,1.0,1.0,1.0
250.25,268.5,2104.0,3244.0,4.83,4.97,-88.15,1.0,1.0,1.0
249.75,268.25,2104.0,3280.0,4.7,4.79,-88.33,1.0,1.0,1.0
249.75,268.5,2072.0,3316.0,4.44,4.53,-88.51,1.0,1.0,1.0
249.88,268.75,2000.0,3351.0,4.22,4.35,-88.68,1.0,1.0,1.0
250.25,269.25,1904.0,3384.0,4.04,4.17,-88.86,1.0,1.0,1.0
250.62,269.75,1792.0,3416.0,3.87,4.04,-89.03,1.0,1.0,1.0
251.0,270.25,1672.0,3445.0,3.78,4.0,-89.3,1.0,1.0,1.0
251.5,270.75,1560.0,3470.0,3.87,4.0,-89.56,1.0,1.0,1.0
252.0,271.5,1472.0,3496.0,3.91,4.09,-89.82,1.0,1.0,1.0
252.25,272.0,1400.0,3520.0,4.09,4.26,-90.09,1.0,1.0,1.0
252.38,272.0,1336.0,3542.0,4.13,4.35,-90.26,1.0,1.0,1.0
252.5,272.25,1288.0,3564.0,4.17,4.35,-90.35,1.0,1.0,1.0
252.5,272.5,1232.0,3584.0,4.17,4.39,-90.44,1.0,1.0,1.0
252.5,272.5,1192.0,3605.0,4.26,4.44,-90.53,1.0,1.0,1.0
252.62,272.75,1152.0,3625.0,4.26,4.44,-90.53,1.0,1.0,1.0
252.5,272.5,1112.0,3644.0,4.31,4.44,-90.62,1.0,1.0,1.0
252.75,273.0,1080.0,3662.0,4.31,4.53,-90.62,1.0,1.0,1.0
252.75,273.0,1064.0,3680.0,4.44,4.57,-90.62,1.0,1.0,1.0
252.88,273.25,1040.0,3698.0,4.39,4.61,-90.62,1.0,1.0,1.0
252.0,272.5,1008.0,3715.0,4.44,4.61,-90.62,1.0,1.0,1.0
251.5,272.0,984.0,3732.0,4.48,4.7,-90.62,1.0,1.0,1.0
250.88,271.25,960.0,3749.0,4.53,4.7,-90.62,1.0,1.0,1.0
250.38,271.0,952.0,3766.0,4.61,4.83,-90.62,1.0,1.0,1.0
250.12,270.75,944.0,3785.0,4.75,4.92,-90.53,1.0,1.0,1.0
249.88,270.5,960.0,3802.0,4.83,4.97,-90.53,1.0,1.0,1.0
